protein_id,class_id
3j3q_1:TVA:h0_model1,8
6m44_3:C:C_model1,14
7vyi_11:K:c_model1,18
4u4o_23:W:D1_model1,83
8f22_1:B:B_model1,25
4u4q_11:K:S9_model1,16
7w3k_18:FA:T_model1,33
5cn4_1:A:A_model1,15
7aif_1:C:C_model1,47
3j3q_1:QIA:e7_model1,8
3j3q_1:GKA:6L_model1,8
6q8y_50:XA:BM_model1,5
3unb_8:V:j_model1,3
8bz1_24:X:h_model1,93
4e3l_1:A:A_model1,54
3j3q_1:OQ:ci_model1,8
7pm6_3:C:C_model1,90
6r87_18:R:5_model1,37
3j3q_1:HQA:7M_model1,8
7w38_19:QA:T_model1,33
3j3q_1:CE:2o_model1,8
3j3q_1:PVA:di_model1,8
4v88_53:CE:DP_model1,37
8d18_1:C:C_model1,90
8a2z_1:D:D_model1,90
8ra2_1:A:A_model1,15
4u3n_61:IB:N5_model1,62
3lel_4:R:R_model1,70
5tgm_64:NE:n8_model1,74
7nhc_3:C:C_model1,84
8i9u_2:B:B_model1,13
8guj_3:C:C_model1,14
6ryr_4:D:D_model1,80
1ke0_1:A:A_model1,54
6x0n_4:N:d_model1,70
7ajt_54:FB:DJ_model1,16
5fci_61:KE:n5_model1,62
5obm_67:OB:D1_model1,83
6rny_3:C:C_model1,14
4u4q_4:D:S2_model1,87
1o18_4:CA:3_model1,90
8quy_1:A:A_model1,25
8ti3_1:B:B_model1,61
8f22_1:E:E_model1,25
3j3q_1:YAA:kT_model1,8
6q8y_78:ZB:W_model1,16
3j3y_1:DAA:3C_model1,8
6rny_4:D:D_model1,34
4idk_1:A:A_model1,9
5lf4_13:AA:M_model1,33
3ue5_1:A:A_model1,90
3j3q_1:WV:jT_model1,8
7xct_4:H:H_model1,56
5wcu_3:Q:Q_model1,14
7qxp_27:OA:o_model1,71
8y36_10:J:F_model1,27
4e3o_1:A:A_model1,54
6qb8_7:G:Q_model1,35
7f4v_3:M:bC_model1,43
3j3q_1:OSA:cn_model1,8
7dkz_7:G:C_model1,43
4u4u_61:KE:n5_model1,62
3j3q_1:BQA:2M_model1,8
6q8y_63:KB:G_model1,0
4olg_1:B:B_model1,54
6bsg_1:A:A_model1,32
7qyb_27:OA:o_model1,71
3azh_4:H:H_model1,56
6vz4_4:D:D_model2,56
6j4x_21:U:c_model1,86
8xbt_3:G:G_model1,86
5tgm_15:PC:c3_model1,91
3j3y_1:TF:eP_model1,8
6r93_6:F:D_model1,56
8br1_1:A:A_model1,90
5oy7_4:AA:C_model1,40
3hmg_2:B:B_model1,53
3azh_4:D:D_model1,56
3j3y_1:RJA:d7_model1,8
5gjr_27:AA:b_model1,71
6hak_1:E:C_model1,47
7vz4_3:C:C_model1,86
8hag_3:G:G_model1,14
7qyb_32:TA:t_model1,33
6t7t_7:G:SC_model1,87
8jld_3:G:G_model1,86
7td2_3:C:A_model1,94
7bv4_1:C:B_model1,85
4hxj_1:A:A_model1,78
6u96_1:E:E_model1,90
7u0h_7:G:E_model1,5
5vtq_2:D:D_model1,59
7v9s_4:X:Z_model1,56
3j3q_1:JD:8a_model1,8
3j3q_1:MO:b_model1,8
3jbk_1:A:A_model1,90
5dc3_61:IB:N5_model1,62
6s47_26:Z:AZ_model1,62
4rtw_1:A:A_model1,48
3j3q_1:PCA:d6_model1,8
3j3y_1:ROA:dH_model1,8
3j3y_1:GD:5T_model1,8
3j3y_1:KP:8i_model1,8
7utl_1:L:L_model1,90
5on6_72:TE:d2_model1,17
7ad9_2:B:B_model1,90
8d17_1:B:B_model1,90
4u4q_63:KB:N7_model1,45
6jr0_3:G:G_model1,14
3j3q_1:PT:dd_model1,8
5os4_1:A:A_model1,67
6jou_4:D:D_model1,56
2q0u_1:A:A_model1,90
5vty_2:B:B_model1,59
3j3q_1:TM:gi_model1,8
7w3c_18:R:r_model1,60
8d18_1:E:E_model1,90
6uc0_1:C:C_model1,90
5ory_1:A:A_model1,67
7utl_1:O:O_model1,90
7zw0_18:R:sY_model1,91
3j3q_1:BDA:1x_model1,8
2xql_2:J:J_model1,56
8hr1_3:G:G_model1,14
7ohw_21:U:P_model1,37
4v9k_25:HC:BC_model1,11
3j3q_1:FWA:5u_model1,8
3j3q_1:ON:cc_model1,8
7u52_4:H:H_model1,34
5tw3_1:A:A_model1,9
6jr0_4:D:D_model1,56
7w3m_18:R:r_model1,60
6yn1_1:K:U_model1,14
3j3q_1:JG:8g_model1,8
1p3g_4:E:C_model1,49
7w3i_21:U:t_model1,33
5vfo_11:Y:q_model1,69
2o5q_1:A:X_model1,15
1s22_1:A:A_model1,90
7w9v_3:C:C_model1,86
7awe_13:M:a_model1,92
3j3q_1:NW:c4_model1,8
1o1d_4:EA:4_model1,90
3j3y_1:OW:bJ_model1,8
6tb3_66:NB:AR_model1,74
3j3q_1:YK:km_model1,8
4a0w_1:A:A_model1,66
7qxu_30:RA:r_model1,60
8sn4_3:C:C_model1,14
8p8u_3:C:QX_model1,62
7azy_18:R:S_model1,74
6kig_3:C:C_model1,41
4u52_61:KE:n5_model1,62
3j3y_1:LR:9U_model1,8
7ahq_1:C:C_model1,90
3j3q_1:YI:ki_model1,8
8e9b_8:K:N_model1,90
3j3q_1:VYA:il_model1,8
4u6f_11:K:S9_model1,16
4u4r_24:X:D2_model1,17
1hge_2:B:B_model1,53
3j3q_1:RLA:f2_model1,8
4u3u_15:O:C3_model1,91
6vkv_1:B:B_model1,25
5hgm_1:A:A_model1,25
6m3v_4:N:N_model1,56
6ylh_32:FA:a_model1,74
7snq_1:A:A_model1,25
5fcj_24:X:D2_model1,17
1hge_2:D:D_model1,53
3j3q_1:AOA:1S_model1,8
4v5f_37:LA:BC_model1,11
2w4u_5:S:L_model1,90
6kln_1:C:C_model1,90
3j3q_1:IF:7p_model1,8
7uqz_34:HA:a_model1,74
7xtd_28:BA:c_model1,86
6skn_1:O:O_model1,8
7zuw_28:BA:AW_model1,17
7pez_4:D:e_model1,79
7xzx_4:D:D_model1,56
3j3q_1:JVA:9A_model1,8
6uc0_1:A:A_model1,90
3j3y_1:GR:5v_model1,8
6bht_1:A:A_model1,25
6dzt_3:C:C_model1,14
5zf0_3:C:C2_model1,41
1cip_1:A:A_model1,94
7w3b_18:R:r_model1,60
8jla_3:G:G_model1,14
6esf_4:D:D_model1,70
5vfo_13:AA:S_model1,92
3j3y_1:YC:ht_model1,8
8ib8_1:I:I_model1,7
1o1a_4:CA:3_model1,90
5lyb_15:O:C3_model1,91
6p2g_1:A:A_model1,32
7mbm_8:L:N_model1,80
3jam_4:D:C_model1,65
3j3q_1:WG:j_model1,8
2rki_1:A:A_model1,22
3j3y_1:SBA:da_model1,8
7w3g_17:Q:q_model1,69
8sn3_3:G:G_model1,14
3j3y_1:KIA:8V_model1,8
3j3y_1:IW:7R_model1,8
7ttt_6:F:F_model1,52
3j3y_1:LMA:9L_model1,8
8d15_1:C:C_model1,90
7nky_23:AA:d_model1,80
6l4a_3:Q:Q_model1,86
3j3y_1:QY:cm_model1,8
7pzy_61:IB:O_model1,16
3j3y_1:WN:go_model1,8
5avc_4:D:D_model1,56
7v08_34:HA:a_model1,74
7b7d_61:IB:LT_model1,62
4wqf_3:IB:CC_model1,11
4wym_1:I:I_model1,25
3j3q_1:WSA:jO_model1,8
5tga_24:YC:d2_model1,17
6slu_1:F:F_model1,8
7pm6_3:G:F_model1,90
3j3q_1:YN:ks_model1,8
6cxj_1:A:A_model1,61
6x4c_1:A:A_model1,9
8d16_1:G:G_model1,90
3j3y_1:KJ:8W_model1,8
7too_9:I:AL06_model1,5
3j3q_1:PG:dD_model1,8
3j3q_1:UWA:hs_model1,8
4u50_15:O:C3_model1,91
3j3y_1:DY:3s_model1,8
7pdz_3:E:K_model1,61
7xfc_4:D:D_model1,93
8ty6_1:C:C_model1,25
8fy8_1:A:A_model1,64
3j3q_1:HI:75_model1,8
6trc_3:AA:3_model1,41
6wph_1:A:A_model1,32
6r94_5:I:G_model1,14
3mnn_4:H:H_model1,70
5z3o_4:H:H_model1,70
7peu_4:D:D_model1,79
8svf_4:D:D_model1,70
6kiu_4:H:H_model1,56
8ti3_1:D:D_model1,61
2r9w_1:B:B_model1,54
3j3q_1:GD:66_model1,8
6n8n_35:IA:n_model1,74
8sff_3:K:d_model1,52
8of4_3:C:C_model1,49
6hhq_28:UB:DB_model1,45
3j3q_1:QW:eY_model1,8
4a7l_1:F:F_model1,90
3j3y_1:FSA:5E_model1,8
3j3y_1:IS:7N_model1,8
5b32_3:C:C_model1,86
8fyt_2:B:A_model1,21
6t7c_4:H:H_model1,79
4u3u_63:KB:N7_model1,45
6buz_4:H:H_model1,56
3kuy_4:D:D_model1,70
8cbn_3:F:H_model1,70
3j3y_1:PZ:c4_model1,8
7yi5_7:H:J_model1,70
8vg0_5:E:C_model1,14
3j3q_1:JQ:9_model1,8
6zkg_40:OA:v_model1,81
3j3y_1:LU:9Y_model1,8
8bqx_66:NB:AR_model1,74
8d15_1:A:A_model1,90
5mvy_1:G:G_model1,90
3j3q_1:TE:gS_model1,8
3j3q_1:GG:6C_model1,8
6hoh_1:C:C_model1,73
8sna_3:G:G_model1,14
8ib2_2:B:B_model1,61
8agz_13:M:M_model1,45
3j3q_1:BU:2T_model1,8
3d32_1:B:B_model1,85
1eqz_3:H:F_model1,56
7qxn_27:OA:o_model1,71
7qxa_3:C:L_model1,14
6kif_3:U:g_model1,41
8agt_11:K:K_model1,62
6msg_29:QA:o_model1,71
8bn3_22:V:S9_model1,16
5vzn_1:A:A_model1,39
7x3j_7:G:Q_model1,35
6z6k_27:AA:SV_model1,83
7aig_1:C:C_model1,47
6w5n_8:H:J_model1,80
7nrc_17:Q:SY_model1,91
5fcj_23:W:D1_model1,83
3azf_4:H:H_model1,56
8aaf_3:C:C_model1,37
9b27_1:F:F_model1,90
8v6v_4:H:H_model1,70
3bm6_1:A:A_model1,54
3j3q_1:AN:1P_model1,8
3j3q_1:VM:iM_model1,8
7xd1_6:I:D_model1,56
8ugg_8:R:3U_model1,96
6vz4_3:C:C_model10,40
3j3q_1:XH:jr_model1,8
7vih_5:E:D_model1,21
3j3y_1:LGA:99_model1,8
2aro_1:E:E_model1,14
3j3q_1:DT:47_model1,8
7yrd_5:J:H_model1,56
6inq_18:V:g_model1,86
7e8d_4:H:H_model1,56
5mva_1:R:R_model1,90
6cex_2:B:B_model1,59
8jbx_3:G:G_model1,14
3j3y_1:XOA:hZ_model1,8
8she_2:B:A_model1,7
3j80_9:I:J_model1,76
5tgm_43:RD:l6_model1,5
6bkm_2:D:D_model1,59
7v9j_4:H:H_model1,56
2v1g_1:A:A_model1,15
1hq3_1:A:A_model1,14
8a2u_1:B:B_model1,90
1o1e_4:EA:5_model1,90
3lel_3:G:G_model1,14
7wbx_21:Y:g_model1,86
1nu1_8:H:H_model1,46
5oof_1:A:A_model1,90
3j3y_1:ZV:v_model1,8
8hki_7:M:Q_model1,35
8sn6_3:C:C_model1,14
6t83_5:E:Cb_model1,87
4b2t_7:O:q_model1,95
3j3q_1:SG:fh_model1,8
5hgl_1:A:A_model1,25
8civ_39:MA:M_model1,74
3j3q_1:RR:fD_model1,8
7utl_1:G:G_model1,90
6ri5_22:V:W_model1,62
7pfv_4:D:D_model1,79
3j3q_1:QN:eG_model1,8
1e1q_3:G:G_model1,38
3j3y_1:RQ:dK_model1,8
7x0s_7:Q:L_model1,13
6w17_9:I:I_model1,90
4b1z_1:D:D_model1,90
8oo7_11:O:O_model1,31
3j3q_1:ZD:lN_model1,8
8jnf_4:H:H_model1,56
8x15_1:A:A_model1,31
7x3j_8:H:Z_model1,75
3reh_4:H:H_model1,70
3j3y_1:PA:bO_model1,8
6rbd_14:N:V_model1,83
7wtp_10:J:SN_model1,91
5ay8_4:H:H_model1,56
4u55_19:TC:c7_model1,0
3j3y_1:PEA:bX_model1,8
4v5n_37:KA:BC_model1,11
7x3t_4:D:D_model1,93
7a1g_13:M:a_model1,83
3h4e_1:C:C_model1,25
5zze_1:A:A_model1,15
6hkt_3:M:Q_model1,86
7e8i_6:F:D_model1,70
3j3y_1:SAA:dY_model1,8
8ra1_1:A:A_model1,15
3j3y_1:OAA:ah_model1,8
3j3y_1:K:8D_model1,8
8u6i_1:A:A_model1,32
7w3k_18:R:t_model1,33
8ett_4:D:D_model1,80
4g5s_1:C:C_model1,94
3j3y_1:TG:eR_model1,8
7qin_1:D:D_model1,90
5o9g_3:C:C_model1,40
3j3q_1:EPA:4r_model1,8
6se0_3:C:C_model1,14
4ld9_3:C:C_model1,40
7ywx_21:Y:V_model1,34
7dbp_5:E:D_model1,79
7a1g_9:I:W_model1,16
8jnd_4:D:D_model1,56
1kx3_4:E:C_model1,14
3j3q_1:KT:9v_model1,8
5b0y_4:D:D_model1,56
8bzl_12:Z:Z_model1,92
7b12_12:L:K_model1,69
5yu8_1:E:E_model1,90
7sx9_1:A:A_model1,90
5mei_66:GD:S_model1,0
6r8y_4:D:D_model1,56
7xfl_4:H:H_model1,93
5av5_3:G:G_model1,86
3j3y_1:NP:aR_model1,8
6j4z_20:T:c_model1,86
3jam_24:X:W_model1,4
7ash_1:Q:Q_model1,8
3j3q_1:ZBA:lK_model1,8
3lr9_1:A:A_model1,15
3ayw_4:D:D_model1,56
7r8v_1:D:D_model1,90
7r46_37:LA:l_model1,81
8ugk_8:H:3H_model1,96
3j3q_1:ZGA:lc_model1,8
7v9k_4:BA:D_model1,56
5mei_70:KD:W_model1,83
6lab_4:R:R_model1,56
7w4d_26:AA:c_model1,18
3j3q_1:YGA:kf_model1,8
3j3q_1:GP:6U_model1,8
3j3q_1:WCA:it_model1,8
9b03_1:B:B_model1,90
7u47_3:C:C_model1,31
3j3y_1:P:bN_model1,8
6t20_1:C:C_model1,90
7xd0_2:B:C_model1,14
7v2h_26:AA:c_model1,18
8qz9_14:N:N_model1,60
6y9y_1:E:G_model1,8
5fcj_43:QA:L6_model1,5
4u51_64:LB:N8_model1,74
7naq_10:J:J_model1,69
6jo6_3:C:C_model1,43
8siy_5:I:J_model1,70
6tcl_3:O:CC_model1,41
8cg8_13:M:B_model1,37
3j3y_1:UHA:fC_model1,8
3j3q_1:KBA:9M_model1,8
6k33_3:MA:bC_model1,41
8q3x_4:D:DDD_model1,56
7x0a_8:O:Z_model1,75
6pwf_3:G:G_model1,14
6c0l_1:A:A_model1,9
3j3y_1:FGA:4r_model1,8
5jus_32:FA:FA_model1,74
3j3y_1:VO:g7_model1,8
4x23_5:E:C_model1,14
8tqp_1:G:G_model1,25
7w3g_15:LA:O_model1,71
8t21_1:A:A_model1,82
3gv9_1:B:B_model1,54
3j3y_1:NI:aD_model1,8
7pf0_4:M:N_model1,79
5dc3_53:CE:m7_model1,37
3j3q_1:WGA:j0_model1,8
8qul_1:A:A_model1,25
8hxz_4:D:D_model1,70
7nan_12:Z:Z_model1,92
8xzg_1:A:A_model1,64
5os0_1:A:A_model1,67
4v88_23:W:AV_model1,83
6qb8_1:I:a_model1,7
3mn7_1:A:A_model1,61
3lal_1:A:A_model1,22
6iq4_3:G:G_model1,14
5vfs_14:N:t_model1,33
